hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,total_stay_nights,adults,children,babies,total_guests,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,1,2017,August,24,24,0,1,1,2,0,0,2,BB,DEU,Online TA,Direct,0,0,0,A,A,0,No Deposit,133,22,0,Transient,69.18,1,0,Check-Out,2016-06-15
City Hotel,1,423,2016,August,23,24,1,2,3,2,0,0,2,BB,ESP,Groups,TA/TO,0,0,0,B,B,0,No Deposit,355,22,0,Transient,69.29,0,1,Canceled,2016-06-15
City Hotel,0,45,2016,May,11,24,0,2,2,2,0,0,2,BB,NLD,Online TA,TA/TO,1,0,0,E,E,0,No Deposit,194,22,0,Transient,129.31,1,1,Check-Out,2016-06-15
Resort Hotel,0,150,2016,October,24,8,0,1,1,2,2,0,4,BB,ITA,Offline TA/TO,TA/TO,0,0,0,C,C,0,Non Refund,188,0,0,Transient,85.53,0,0,Check-Out,2016-06-15
City Hotel,0,39,2017,December,5,23,2,1,3,2,0,0,2,BB,BRA,Online TA,TA/TO,0,2,0,A,A,3,No Deposit,51,0,0,Contract,102.48,0,0,Check-Out,2016-06-15
City Hotel,1,64,2017,March,39,22,1,2,3,3,1,0,4,BB,PRT,Online TA,Corporate,0,0,0,D,D,0,No Deposit,383,22,0,Transient,128.31,0,2,Canceled,2016-06-15
City Hotel,0,49,2016,July,48,28,0,2,2,1,1,0,2,BB,NLD,Online TA,TA/TO,0,0,0,G,F,0,No Deposit,22,22,0,Transient,106.51,0,2,Check-Out,2016-06-15
City Hotel,0,41,2017,January,30,7,0,1,1,1,0,0,1,BB,ESP,Direct,TA/TO,0,0,0,A,A,0,No Deposit,312,22,0,Transient-Party,121.84,0,0,Check-Out,2016-06-15
City Hotel,0,2,2016,August,16,13,0,1,1,2,0,0,2,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,86,22,5,Transient,90.28,0,2,Check-Out,2016-06-15
Resort Hotel,0,44,2016,June,20,15,1,1,2,1,0,0,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,158,22,0,Contract,152.11,0,0,Check-Out,2016-06-15
City Hotel,0,220,2016,March,29,14,0,2,2,2,0,0,2,BB,DEU,Offline TA/TO,TA/TO,0,0,1,F,F,1,No Deposit,446,0,0,Transient,94.14,0,0,Check-Out,2016-06-15
Resort Hotel,0,117,2016,September,17,5,0,1,1,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,217,0,30,Transient,116.85,0,1,Check-Out,2016-06-15
City Hotel,0,15,2015,September,19,8,0,3,3,1,0,0,1,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,355,22,0,Transient-Party,94.89,0,0,Check-Out,2016-06-15
Resort Hotel,1,89,2016,February,26,18,2,1,3,1,0,0,1,BB,BEL,Groups,TA/TO,0,0,1,A,A,0,No Deposit,103,22,0,Transient-Party,133.82,1,2,Canceled,2016-06-15
City Hotel,0,222,2016,January,15,5,1,4,5,2,0,0,2,BB,PRT,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,216,0,0,Transient,81.0,0,2,Check-Out,2016-06-15
City Hotel,0,120,2017,May,25,23,1,1,2,1,0,0,1,BB,NLD,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,483,0,0,Contract,111.56,0,0,Check-Out,2016-06-15
Resort Hotel,0,16,2015,August,15,9,0,2,2,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,G,E,0,No Deposit,430,0,0,Transient,77.87,0,0,Check-Out,2016-06-15
City Hotel,0,202,2016,September,20,10,1,2,3,2,0,0,2,BB,ESP,Corporate,TA/TO,0,0,0,D,D,1,No Deposit,495,0,0,Transient,86.34,0,1,Check-Out,2016-06-15
City Hotel,1,35,2016,July,30,17,2,2,4,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,341,22,0,Transient-Party,130.55,0,0,Canceled,2016-06-15
City Hotel,0,60,2017,July,21,27,1,1,2,1,0,0,1,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,Non Refund,35,22,0,Transient-Party,92.82,0,1,Check-Out,2016-06-15
City Hotel,1,74,2017,September,47,25,0,5,5,2,1,0,3,BB,NLD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,289,22,0,Transient,100.69,0,1,Canceled,2016-06-15
City Hotel,1,190,2017,July,35,3,4,2,6,2,0,0,2,BB,ESP,Groups,TA/TO,0,0,0,G,G,1,No Deposit,417,22,0,Transient,79.57,0,1,Canceled,2016-06-15
City Hotel,1,268,2017,July,44,1,1,1,2,2,0,0,2,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,457,0,0,Transient,80.97,0,0,Canceled,2016-06-15
Resort Hotel,1,265,2016,July,6,7,0,1,1,1,0,0,1,BB,GBR,Direct,TA/TO,0,0,0,F,F,0,No Deposit,101,0,0,Transient,184.79,0,1,Canceled,2016-06-15
Resort Hotel,0,0,2016,October,52,15,1,7,8,2,0,0,2,BB,NLD,Direct,TA/TO,1,0,0,A,A,0,No Deposit,59,22,10,Transient,140.41,0,0,Check-Out,2016-06-15
City Hotel,0,254,2017,April,37,19,0,1,1,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,26,0,0,Transient,105.09,0,0,Check-Out,2016-06-15
City Hotel,0,5,2017,April,11,8,0,2,2,2,0,0,2,FB,PRT,Online TA,Direct,0,0,0,D,D,0,No Deposit,258,0,0,Transient,76.3,0,2,Check-Out,2016-06-15
City Hotel,1,30,2016,February,23,11,2,1,3,1,0,0,1,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,384,0,0,Transient,77.91,0,0,Canceled,2016-06-15
City Hotel,0,72,2017,September,44,2,1,3,4,2,0,0,2,FB,NLD,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,44,0,0,Transient,52.51,0,0,Check-Out,2016-06-15
City Hotel,0,65,2017,June,39,20,2,3,5,1,0,0,1,BB,NLD,Groups,TA/TO,0,0,0,D,D,0,No Deposit,404,0,0,Transient,187.75,0,0,Check-Out,2016-06-15
City Hotel,1,92,2017,May,9,28,3,2,5,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,494,0,0,Transient,69.58,0,1,Canceled,2016-06-15
City Hotel,0,65,2017,December,18,2,1,5,6,2,0,0,2,HB,GBR,Online TA,Direct,0,2,0,A,A,0,No Deposit,389,0,0,Transient,64.52,0,1,Check-Out,2016-06-15
City Hotel,1,272,2016,November,46,11,1,3,4,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,C,A,2,No Deposit,235,22,0,Transient,103.18,0,0,Canceled,2016-06-15
City Hotel,0,27,2016,December,36,20,2,6,8,2,0,0,2,BB,NLD,Online TA,Direct,0,0,0,A,A,0,No Deposit,281,0,0,Transient,39.02,0,0,Check-Out,2016-06-15
City Hotel,1,32,2015,March,40,28,1,3,4,2,0,0,2,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,274,22,0,Transient-Party,98.51,0,0,Canceled,2016-06-15
City Hotel,0,253,2016,October,48,17,0,2,2,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,484,22,0,Group,140.8,0,1,Check-Out,2016-06-15
City Hotel,0,7,2017,May,36,10,2,1,3,1,0,0,1,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,184,0,0,Transient-Party,121.63,0,0,Check-Out,2016-06-15
Resort Hotel,0,94,2016,January,28,5,0,3,3,2,0,0,2,BB,FRA,Direct,TA/TO,1,0,0,D,D,0,No Deposit,80,22,0,Transient,105.7,0,0,Check-Out,2016-06-15
Resort Hotel,1,114,2016,May,19,3,0,2,2,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,259,22,0,Transient,73.3,0,1,Canceled,2016-06-15
City Hotel,0,70,2016,July,30,9,0,3,3,2,0,0,2,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,50,22,0,Transient,78.06,0,0,Check-Out,2016-06-15
City Hotel,0,118,2017,February,38,20,2,5,7,2,0,0,2,BB,NLD,Offline TA/TO,TA/TO,0,0,2,G,G,0,No Deposit,147,0,0,Transient,81.92,0,0,Check-Out,2016-06-15
City Hotel,1,18,2015,July,51,22,2,1,3,2,0,0,2,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,112,0,0,Transient-Party,76.03,0,1,Canceled,2016-06-15
City Hotel,1,191,2016,September,15,25,1,4,5,2,0,0,2,HB,NLD,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,359,22,0,Transient,60.62,0,0,Canceled,2016-06-15
Resort Hotel,0,15,2016,May,44,2,0,2,2,2,0,0,2,FB,IRL,Groups,TA/TO,0,0,0,F,F,0,No Deposit,414,0,0,Transient,84.49,0,1,Check-Out,2016-06-15
City Hotel,1,51,2016,May,12,23,0,1,1,2,0,0,2,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,73,0,0,Transient,132.75,0,2,Canceled,2016-06-15
City Hotel,0,7,2017,May,2,19,1,3,4,2,0,0,2,BB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,448,22,0,Transient-Party,89.9,0,2,Check-Out,2016-06-15
City Hotel,0,78,2017,November,9,17,0,2,2,1,0,0,1,BB,NLD,Online TA,Direct,0,0,0,A,A,0,Refundable,181,0,0,Transient,112.86,0,3,Check-Out,2016-06-15
City Hotel,1,110,2016,January,35,25,1,4,5,3,0,0,3,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,122,22,0,Transient,123.84,0,1,Canceled,2016-06-15
City Hotel,1,283,2017,June,1,25,1,2,3,1,2,0,3,BB,ESP,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,386,0,0,Transient,146.43,0,0,Canceled,2016-06-15
Resort Hotel,0,134,2016,April,46,12,2,4,6,2,0,0,2,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,491,0,0,Transient,54.66,0,0,Check-Out,2016-06-15
City Hotel,0,77,2017,October,31,27,1,2,3,1,0,0,1,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,174,0,0,Transient,116.83,0,0,Check-Out,2016-06-15
City Hotel,1,269,2016,February,28,20,0,2,2,2,0,0,2,SC,ESP,Online TA,TA/TO,0,0,0,F,F,0,Refundable,379,22,0,Transient,100.88,0,1,Canceled,2016-06-15
City Hotel,0,65,2017,June,45,9,1,2,3,2,2,0,4,SC,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,215,0,0,Transient-Party,167.77,0,1,Check-Out,2016-06-15
City Hotel,0,82,2016,June,37,23,0,1,1,2,0,0,2,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,99,22,0,Transient-Party,115.74,0,0,Check-Out,2016-06-15
Resort Hotel,1,90,2015,October,7,4,0,3,3,3,0,0,3,BB,NLD,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,263,22,0,Transient,122.81,0,0,Canceled,2016-06-15
Resort Hotel,0,52,2016,April,46,28,1,2,3,1,1,0,2,BB,NLD,Direct,TA/TO,0,0,0,A,A,0,No Deposit,326,0,0,Transient-Party,104.25,0,1,Check-Out,2016-06-15
City Hotel,1,182,2016,August,16,18,0,7,7,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,449,0,0,Transient,70.06,0,0,Canceled,2016-06-15
City Hotel,0,20,2017,March,50,16,0,2,2,2,1,0,3,BB,ESP,Online TA,Corporate,0,0,0,A,A,0,No Deposit,430,0,0,Transient,84.46,0,0,Check-Out,2016-06-15
Resort Hotel,0,80,2015,November,14,21,0,2,2,2,0,0,2,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,Non Refund,42,22,0,Transient,110.03,0,0,Check-Out,2016-06-15
Resort Hotel,0,128,2016,July,33,24,1,1,2,2,0,0,2,BB,DEU,Direct,TA/TO,0,0,0,F,F,0,No Deposit,29,22,30,Group,147.6,0,0,Check-Out,2016-06-15
City Hotel,0,234,2017,August,6,10,0,3,3,1,0,0,1,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,Non Refund,69,0,0,Transient,78.28,0,0,Check-Out,2016-06-15
Resort Hotel,0,215,2016,June,21,26,0,4,4,2,0,0,2,SC,PRT,Corporate,TA/TO,0,0,0,E,B,0,No Deposit,333,22,0,Transient,52.08,0,2,Check-Out,2016-06-15
City Hotel,0,71,2017,May,10,22,0,1,1,2,0,0,2,BB,PRT,Corporate,TA/TO,0,0,0,E,B,0,No Deposit,251,22,0,Transient-Party,91.91,0,1,Check-Out,2016-06-15
City Hotel,0,103,2015,April,32,12,1,1,2,1,0,0,1,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,207,0,0,Transient,112.69,0,0,Check-Out,2016-06-15
City Hotel,0,50,2016,July,6,28,2,3,5,1,0,0,1,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,385,22,0,Transient,90.43,0,2,Check-Out,2016-06-15
Resort Hotel,0,63,2017,November,2,11,1,1,2,2,0,0,2,SC,NLD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,471,0,0,Transient-Party,118.64,0,0,Check-Out,2016-06-15
Resort Hotel,0,236,2016,May,39,5,1,2,3,2,0,0,2,SC,NLD,Online TA,Direct,0,0,0,A,A,0,No Deposit,363,0,0,Transient,134.87,0,0,Check-Out,2016-06-15
City Hotel,1,266,2016,October,49,20,1,3,4,2,2,0,4,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,333,0,0,Transient-Party,79.86,1,1,Canceled,2016-06-15
City Hotel,1,225,2017,March,27,11,2,2,4,2,0,0,2,SC,PRT,Online TA,TA/TO,1,0,0,A,A,3,No Deposit,105,0,0,Transient-Party,84.43,0,0,Canceled,2016-06-15
City Hotel,1,14,2016,November,14,16,0,2,2,1,0,0,1,BB,PRT,Direct,TA/TO,0,0,3,D,D,0,No Deposit,459,22,0,Transient,125.08,0,1,Canceled,2016-06-15
Resort Hotel,0,189,2017,May,23,15,1,4,5,2,0,0,2,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,Non Refund,76,22,0,Transient,76.73,0,1,Check-Out,2016-06-15
City Hotel,0,296,2017,May,39,6,1,2,3,2,0,0,2,BB,FRA,Direct,TA/TO,0,0,0,A,A,0,No Deposit,415,0,0,Transient-Party,153.88,0,2,Check-Out,2016-06-15
City Hotel,0,44,2015,June,21,13,1,1,2,1,0,0,1,BB,NLD,Online TA,Direct,0,0,0,A,A,0,No Deposit,276,0,0,Transient,129.12,0,0,Check-Out,2016-06-15
City Hotel,0,73,2017,August,41,16,1,2,3,1,0,0,1,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,329,0,0,Contract,99.63,0,0,Check-Out,2016-06-15
City Hotel,0,151,2016,August,51,27,3,1,4,1,0,0,1,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,213,0,0,Transient,116.0,0,0,Check-Out,2016-06-15
City Hotel,1,82,2016,June,30,3,2,3,5,2,0,0,2,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,333,0,0,Contract,120.47,0,0,Canceled,2016-06-15
City Hotel,1,503,2017,July,25,18,1,3,4,2,0,0,2,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,261,22,0,Transient,145.98,0,0,Canceled,2016-06-15
Resort Hotel,0,60,2017,January,24,1,1,1,2,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,101,22,0,Transient,124.99,1,2,Check-Out,2016-06-15
City Hotel,0,125,2017,May,11,25,2,3,5,1,0,0,1,BB,NLD,Groups,TA/TO,0,0,0,E,E,0,No Deposit,349,22,0,Transient,110.27,0,0,Check-Out,2016-06-15
Resort Hotel,0,157,2017,May,35,17,1,2,3,2,0,0,2,BB,GBR,Direct,TA/TO,0,0,0,A,F,0,No Deposit,478,0,10,Transient,106.66,0,0,Check-Out,2016-06-15
City Hotel,0,68,2016,July,4,27,4,3,7,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,170,22,0,Transient,62.16,0,0,Check-Out,2016-06-15
City Hotel,1,194,2016,July,37,20,1,3,4,1,1,0,2,BB,ESP,Offline TA/TO,Direct,0,0,0,A,A,0,Non Refund,101,22,0,Transient-Party,120.96,0,2,Canceled,2016-06-15
Resort Hotel,1,78,2016,August,36,6,0,2,2,2,1,0,3,BB,GBR,Offline TA/TO,TA/TO,1,0,0,D,D,0,No Deposit,331,22,0,Transient,109.61,0,1,Canceled,2016-06-15
City Hotel,1,53,2016,August,13,9,1,1,2,2,2,0,4,BB,NLD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,311,0,0,Transient,102.57,0,0,Canceled,2016-06-15
Resort Hotel,0,11,2016,April,9,4,2,4,6,2,0,0,2,BB,NLD,Direct,TA/TO,0,0,0,A,A,0,Non Refund,288,22,0,Transient-Party,91.57,0,1,Check-Out,2016-06-15
City Hotel,1,49,2017,September,28,7,2,3,5,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,433,0,0,Contract,149.15,0,0,Canceled,2016-06-15
City Hotel,0,132,2016,January,46,23,2,4,6,3,0,0,3,SC,BRA,Online TA,Direct,0,0,0,D,D,0,No Deposit,350,0,0,Transient,120.39,0,2,Check-Out,2016-06-15
Resort Hotel,0,254,2017,August,16,22,3,2,5,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,346,22,0,Transient,111.39,0,0,Check-Out,2016-06-15
City Hotel,0,28,2017,February,6,25,1,2,3,1,0,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,167,22,0,Transient,154.3,0,0,Check-Out,2016-06-15
City Hotel,0,43,2015,August,27,11,0,2,2,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,261,22,0,Transient-Party,90.28,0,0,Check-Out,2016-06-15
Resort Hotel,0,16,2016,July,10,26,1,2,3,2,0,0,2,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,483,22,0,Transient,120.71,0,0,Check-Out,2016-06-15
Resort Hotel,1,117,2016,June,23,23,0,3,3,1,0,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,359,0,0,Transient,163.36,0,0,Canceled,2016-06-15
City Hotel,1,322,2016,August,21,3,3,4,7,2,0,0,2,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,127,0,0,Contract,69.01,0,1,Canceled,2016-06-15
City Hotel,1,102,2017,January,26,16,2,1,3,2,0,0,2,BB,FRA,Offline TA/TO,Direct,0,0,0,G,D,0,No Deposit,133,22,0,Transient,81.86,1,0,Canceled,2016-06-15
City Hotel,1,95,2016,April,45,6,4,2,6,1,0,0,1,BB,NLD,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,388,22,0,Transient,139.27,0,2,Canceled,2016-06-15
Resort Hotel,0,80,2017,July,3,7,0,2,2,1,0,0,1,BB,ESP,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,297,22,0,Transient,85.29,0,2,Check-Out,2016-06-15
Resort Hotel,1,9,2017,October,43,12,0,2,2,2,1,0,3,BB,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,180,22,0,Transient,28.64,0,0,Canceled,2016-06-15
City Hotel,0,130,2016,May,35,7,1,2,3,2,0,0,2,BB,NLD,Online TA,Direct,0,0,0,A,D,1,No Deposit,261,22,0,Transient,68.04,0,0,Check-Out,2016-06-15
Resort Hotel,1,92,2017,April,7,22,0,4,4,2,0,0,2,BB,DEU,Offline TA/TO,Direct,0,0,0,A,A,1,No Deposit,204,0,0,Transient,58.04,0,1,Canceled,2016-06-15
Resort Hotel,1,108,2015,July,27,19,1,5,6,1,0,0,1,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6,0,0,Transient,57.66,0,0,Canceled,2016-06-15
Resort Hotel,0,229,2015,August,42,22,1,1,2,2,0,0,2,BB,NLD,Offline TA/TO,TA/TO,0,0,0,E,B,0,No Deposit,222,0,0,Transient,122.12,0,0,Check-Out,2016-06-15
City Hotel,1,153,2015,June,33,16,2,3,5,1,0,0,1,BB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,235,0,0,Transient,120.89,0,0,Canceled,2016-06-15
City Hotel,0,151,2016,October,4,18,0,2,2,2,2,0,4,BB,ESP,Online TA,TA/TO,0,0,3,A,A,1,No Deposit,422,0,0,Transient,102.45,0,2,Check-Out,2016-06-15
City Hotel,0,261,2016,July,26,10,2,2,4,2,0,0,2,BB,FRA,Offline TA/TO,Corporate,0,0,0,G,G,1,No Deposit,242,0,0,Contract,94.72,0,0,Check-Out,2016-06-15
City Hotel,0,459,2017,January,8,1,1,1,2,1,0,0,1,SC,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,363,0,0,Transient,128.17,0,1,Check-Out,2016-06-15
Resort Hotel,0,87,2016,April,20,8,4,1,5,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,51,0,0,Transient,122.72,0,0,Check-Out,2016-06-15
City Hotel,1,11,2016,June,17,3,0,7,7,2,0,0,2,BB,IRL,Online TA,Corporate,0,0,0,A,A,0,No Deposit,8,0,0,Transient,83.31,0,0,Canceled,2016-06-15
Resort Hotel,0,61,2016,August,5,16,0,3,3,2,0,0,2,BB,NLD,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,201,0,0,Transient,35.2,0,2,Check-Out,2016-06-15
City Hotel,0,154,2016,April,49,24,2,2,4,3,0,0,3,BB,PRT,Offline TA/TO,Direct,0,0,0,A,A,1,No Deposit,390,22,0,Transient,43.59,0,1,Check-Out,2016-06-15
City Hotel,0,2,2016,December,9,3,0,4,4,1,2,0,3,BB,NLD,Groups,Corporate,0,0,0,E,E,0,No Deposit,81,22,0,Transient,67.45,0,1,Check-Out,2016-06-15
City Hotel,1,5,2016,May,8,2,1,1,2,2,0,0,2,HB,PRT,Online TA,Corporate,0,0,0,A,A,0,Non Refund,108,0,0,Transient,159.31,0,0,Canceled,2016-06-15
City Hotel,1,6,2016,July,7,12,2,3,5,2,0,0,2,BB,ESP,Direct,TA/TO,0,0,0,E,E,0,No Deposit,173,0,0,Transient,74.91,0,1,Canceled,2016-06-15
City Hotel,1,131,2016,January,37,8,1,3,4,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,92,0,0,Group,65.43,0,1,Canceled,2016-06-15
Resort Hotel,1,69,2016,October,36,19,0,2,2,1,0,0,1,HB,NLD,Online TA,Corporate,0,0,0,A,A,0,Non Refund,98,22,0,Group,97.51,0,3,Canceled,2016-06-15
City Hotel,0,46,2017,September,3,24,0,2,2,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,1,D,G,0,No Deposit,157,0,0,Transient,95.11,0,0,Check-Out,2016-06-15
City Hotel,0,11,2015,March,8,18,1,6,7,2,0,0,2,BB,PRT,Corporate,TA/TO,0,0,0,D,D,0,No Deposit,339,22,0,Transient,96.21,0,0,Check-Out,2016-06-15
City Hotel,0,131,2017,November,5,20,1,2,3,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,155,22,0,Transient,54.96,0,1,Check-Out,2016-06-15
City Hotel,0,38,2016,May,5,25,0,1,1,2,0,0,2,HB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,466,0,0,Transient-Party,105.05,0,1,Check-Out,2016-06-15
City Hotel,1,30,2016,August,17,15,2,3,5,2,1,0,3,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,453,22,0,Transient,59.13,1,1,Canceled,2016-06-15
Resort Hotel,0,105,2016,September,47,17,1,3,4,2,0,0,2,BB,NLD,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,122,0,0,Transient,54.01,0,0,Check-Out,2016-06-15
City Hotel,1,81,2016,September,27,18,2,4,6,2,0,0,2,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,262,0,0,Transient,149.86,0,0,Canceled,2016-06-15
Resort Hotel,1,45,2016,November,40,18,0,4,4,2,0,0,2,BB,PRT,Direct,TA/TO,0,0,0,G,G,3,No Deposit,212,0,0,Transient,88.59,0,0,Canceled,2016-06-15
City Hotel,0,102,2017,October,39,9,2,3,5,1,0,0,1,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,346,22,0,Transient,112.6,0,0,Check-Out,2016-06-15
City Hotel,0,31,2016,December,49,26,2,1,3,1,0,0,1,BB,PRT,Online TA,Corporate,0,0,0,C,C,1,No Deposit,113,0,0,Transient,28.85,0,2,Check-Out,2016-06-15
City Hotel,1,158,2017,March,12,5,2,5,7,1,0,0,1,BB,NLD,Groups,TA/TO,0,0,0,D,D,0,No Deposit,154,0,0,Transient-Party,113.71,0,0,Canceled,2016-06-15
City Hotel,1,26,2016,May,28,11,1,1,2,2,2,0,4,SC,NLD,Offline TA/TO,Corporate,1,0,0,D,D,1,Non Refund,176,0,0,Transient,101.21,0,1,Canceled,2016-06-15
City Hotel,1,17,2016,August,4,4,0,1,1,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,455,22,0,Transient,91.97,1,0,Canceled,2016-06-15
Resort Hotel,0,152,2016,August,52,26,0,2,2,2,0,0,2,SC,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,381,0,0,Transient-Party,59.6,0,0,Check-Out,2016-06-15
City Hotel,1,123,2015,July,28,10,1,2,3,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,168,0,0,Transient-Party,88.61,0,0,Canceled,2016-06-15
Resort Hotel,0,20,2017,February,25,4,0,1,1,2,0,0,2,SC,GBR,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,260,0,0,Transient,63.01,0,1,Check-Out,2016-06-15
City Hotel,0,12,2017,October,50,23,2,2,4,2,0,0,2,BB,PRT,Direct,Direct,0,0,0,A,A,0,Non Refund,457,0,0,Group,87.81,0,2,Check-Out,2016-06-15
Resort Hotel,0,182,2017,December,36,3,3,2,5,1,0,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,446,22,0,Transient,30.66,0,0,Check-Out,2016-06-15
Resort Hotel,0,149,2016,June,42,25,0,2,2,1,0,0,1,BB,BEL,Offline TA/TO,Corporate,0,0,0,G,B,0,No Deposit,432,0,0,Transient,47.34,0,0,Check-Out,2016-06-15
City Hotel,1,39,2016,April,3,16,0,1,1,2,0,0,2,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,468,0,0,Transient,50.08,0,0,Canceled,2016-06-15
Resort Hotel,0,107,2017,January,31,21,2,1,3,2,1,0,3,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,307,22,0,Transient,128.14,0,0,Check-Out,2016-06-15
City Hotel,0,13,2016,April,37,11,1,4,5,2,2,0,4,BB,NLD,Offline TA/TO,TA/TO,0,0,0,G,A,0,No Deposit,398,0,0,Transient,124.07,0,0,Check-Out,2016-06-15
